cycle,deck_file,slide,link_text,old_url,new_url,target_file,evidence
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,1,Evolution Stations check sheet,https://drive.google.com/file/d/1AGpX73RKRCnsg5Xu_gmZerw6td4WEg77/view,https://drive.google.com/file/d/1Oxz2p9jl_IxzyB0fRhgSSQQPiVtckDYq/view,Cycle 18 — Evolution Stations Check Sheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,1,Gene-pool bead lab — allele frequency,https://drive.google.com/file/d/1KLXsjXUqG8uzLbBM9jdlaROmDPSysHQb/view,https://drive.google.com/file/d/1xf7goh5P5cp16qVCUvADnAPToz2l9oWz/view,Gene-Pool Allele-Frequency Simulation.pdf,"name match 0.57 in the deck's own cycle; target = PUBLIC tree; NOTE this file exists only in the PUBLIC tree — it is missing from BIOLOGY (Shared), where every other working link resolves"
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,1,Comparing bones — chicken anatomy,https://drive.google.com/file/d/1PRkBFxKtCm9r0rZWK6_hbDhZt_UAWl42/view,https://drive.google.com/file/d/1jcEhtTVvo4YgIRYR7EWESkYMgQn6s9wt/view,Cycle 18 — EvoArc4_Morphology_Chicken_Anatomy.docx,"scorer said 0.25 (filename uses EvoArc4_Morphology, the label says 'Comparing bones'), but 'chicken anatomy' is the shared distinctive pair and this is the ONLY chicken file in Cycle 18 in any tree. Verified by hand."
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,32,Evolution Stations check sheet,https://drive.google.com/file/d/1AGpX73RKRCnsg5Xu_gmZerw6td4WEg77/view,https://drive.google.com/file/d/1Oxz2p9jl_IxzyB0fRhgSSQQPiVtckDYq/view,Cycle 18 — Evolution Stations Check Sheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,32,Gene-pool bead lab — allele frequency,https://drive.google.com/file/d/1KLXsjXUqG8uzLbBM9jdlaROmDPSysHQb/view,https://drive.google.com/file/d/1xf7goh5P5cp16qVCUvADnAPToz2l9oWz/view,Gene-Pool Allele-Frequency Simulation.pdf,"name match 0.57 in the deck's own cycle; target = PUBLIC tree; NOTE this file exists only in the PUBLIC tree — it is missing from BIOLOGY (Shared), where every other working link resolves"
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation — with Concept Bank.pptx,32,Comparing bones — chicken anatomy,https://drive.google.com/file/d/1PRkBFxKtCm9r0rZWK6_hbDhZt_UAWl42/view,https://drive.google.com/file/d/1jcEhtTVvo4YgIRYR7EWESkYMgQn6s9wt/view,Cycle 18 — EvoArc4_Morphology_Chicken_Anatomy.docx,"scorer said 0.25 (filename uses EvoArc4_Morphology, the label says 'Comparing bones'), but 'chicken anatomy' is the shared distinctive pair and this is the ONLY chicken file in Cycle 18 in any tree. Verified by hand."
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,1,Evolution Stations check sheet,https://drive.google.com/file/d/1AGpX73RKRCnsg5Xu_gmZerw6td4WEg77/view,https://drive.google.com/file/d/1Oxz2p9jl_IxzyB0fRhgSSQQPiVtckDYq/view,Cycle 18 — Evolution Stations Check Sheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,1,Gene-pool bead lab — allele frequency,https://drive.google.com/file/d/1KLXsjXUqG8uzLbBM9jdlaROmDPSysHQb/view,https://drive.google.com/file/d/1xf7goh5P5cp16qVCUvADnAPToz2l9oWz/view,Gene-Pool Allele-Frequency Simulation.pdf,"name match 0.57 in the deck's own cycle; target = PUBLIC tree; NOTE this file exists only in the PUBLIC tree — it is missing from BIOLOGY (Shared), where every other working link resolves"
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,1,Comparing bones — chicken anatomy,https://drive.google.com/file/d/1PRkBFxKtCm9r0rZWK6_hbDhZt_UAWl42/view,https://drive.google.com/file/d/1jcEhtTVvo4YgIRYR7EWESkYMgQn6s9wt/view,Cycle 18 — EvoArc4_Morphology_Chicken_Anatomy.docx,"scorer said 0.25 (filename uses EvoArc4_Morphology, the label says 'Comparing bones'), but 'chicken anatomy' is the shared distinctive pair and this is the ONLY chicken file in Cycle 18 in any tree. Verified by hand."
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,31,Evolution Stations check sheet,https://drive.google.com/file/d/1AGpX73RKRCnsg5Xu_gmZerw6td4WEg77/view,https://drive.google.com/file/d/1Oxz2p9jl_IxzyB0fRhgSSQQPiVtckDYq/view,Cycle 18 — Evolution Stations Check Sheet.docx,name match 0.80 in the deck's own cycle; target = SHARED tree (print subfolder); the same file exists as 3 copies (AGENDA+PUBLIC+SHARED) — SHARED chosen because 71/71 working links point there
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,31,Gene-pool bead lab — allele frequency,https://drive.google.com/file/d/1KLXsjXUqG8uzLbBM9jdlaROmDPSysHQb/view,https://drive.google.com/file/d/1xf7goh5P5cp16qVCUvADnAPToz2l9oWz/view,Gene-Pool Allele-Frequency Simulation.pdf,"name match 0.57 in the deck's own cycle; target = PUBLIC tree; NOTE this file exists only in the PUBLIC tree — it is missing from BIOLOGY (Shared), where every other working link resolves"
Cycle 18,▶ LIVE — Cycle 18 — Natural Selection & Adaptation.pptx,31,Comparing bones — chicken anatomy,https://drive.google.com/file/d/1PRkBFxKtCm9r0rZWK6_hbDhZt_UAWl42/view,https://drive.google.com/file/d/1jcEhtTVvo4YgIRYR7EWESkYMgQn6s9wt/view,Cycle 18 — EvoArc4_Morphology_Chicken_Anatomy.docx,"scorer said 0.25 (filename uses EvoArc4_Morphology, the label says 'Comparing bones'), but 'chicken anatomy' is the shared distinctive pair and this is the ONLY chicken file in Cycle 18 in any tree. Verified by hand."
